country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
US,"The clear scent of root beet along with barrel char works, and so does the ripe palate that's full of red raspberry and chocolate. If none of that sounds like Cab Franc from the Loire Valley or elsewhere, it's not. In it's own right, this is a ripe, full-bodied wine that's oaky, tannic and big—but also quite clean. And the texture is pure new wave.",,88,28.0,Oregon,Rogue Valley,Southern Oregon,Michael Schachner,@wineschach,Griffin Creek 2000 Cabernet Franc (Rogue Valley),Cabernet Franc,Griffin Creek
US,"Soft, heavy and extracted, with candied flavors of raspberries, cherries and blackberries. This ultraripe wine tastes sugary sweet and is probably at its best now.",Toretti's Family Vineyard,83,42.0,California,Santa Barbara County,Central Coast,,,Inocencio 2009 Toretti's Family Vineyard Pinot Noir (Santa Barbara County),Pinot Noir,Inocencio
US,"A simple Merlot, it's easy to drink, and will be very nice with everyday fare like burgers or tacos. It's dry and tannic, yet rich in cherries and red currants, with a smooth coating of toasty oak.",Kinneybrook,86,17.0,California,Sonoma County,Sonoma,,,Kunde 2011 Kinneybrook Merlot (Sonoma County),Merlot,Kunde
Australia,"Hints of smoke and white peach mark the nose of this medium-bodied wine. It's a touch less expressive on the palate, but pleasantly plump, with great focus and length on the finish. Drink now–2016.",,90,21.0,Western Australia,Great Southern,,Joe Czerwinski,@JoeCz,Plantagenet 2013 Chardonnay (Great Southern),Chardonnay,Plantagenet
Italy,"This vintage of Valle d'Oro presents almost exaggerated aromas of violet, dried rose and cinnamon potpourri. Definitely more floral than it is fruity, the wine closes with sweet spice flavors, density and polished tannins.",Valle d'Oro,87,12.0,Central Italy,Montepulciano d'Abruzzo,,,,Cantina Tollo 2009 Valle d'Oro  (Montepulciano d'Abruzzo),Montepulciano,Cantina Tollo
US,"This is a complex and introverted vineyard-designate. Sour cherry, pomegranate and rhubarb surround a wildness of anise and medium-weighted tannin. Earthy and varietal, it should pair well with pork-driven fare.",Baker Ridge Vineyard Estate,90,70.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Thomas George 2012 Baker Ridge Vineyard Estate Pinot Noir (Russian River Valley),Pinot Noir,Thomas George
France,"Textured and with a tight minerality, this is also a potentially generous wine, spicy and showing a creamy character from the wood. Lively acidity cuts through the texture with delicious fruitiness coming from behind to give a lift to this young, still very fresh wine. Drink from 2018.",Les Embazées Premier Cru,93,,Burgundy,Chassagne-Montrachet,,Roger Voss,@vossroger,Henri de Villamont 2013 Les Embazées Premier Cru  (Chassagne-Montrachet),Chardonnay,Henri de Villamont
US,"Rich in apricot and orange marmalade, crème brûlée and vanilla flavors, this dessert sipper has a soft, honeyed richness. The residual sugar is 14.1%, making it fabulously sweet.",Late Harvest,88,20.0,California,Anderson Valley,,,,Husch 2011 Late Harvest Gewurztraminer (Anderson Valley),Gewürztraminer,Husch
Italy,"Mature berry, pressed rose petal and exotic spice pave the way on this easygoing red while the medium-bodied palate boasts juicy black cherry, clove and a hint of coffee. Round tannins provide support. Drink through 2018.",,88,25.0,Tuscany,Vino Nobile di Montepulciano,,Kerin O’Keefe,@kerinokeefe,Nottola 2012  Vino Nobile di Montepulciano,Red Blend,Nottola
France,"Tight, young and tangy, this wine will be delicious when it all comes together. The elements are all there, with the quince and pear fruits, intense acidity and the crisp texture that is so refreshing. Drink this ageworthy wine from 2017.",Sec,91,15.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine de la Gaverie 2014 Sec  (Vouvray),Chenin Blanc,Domaine de la Gaverie
US,"A brawny, cherry flavored Zinfandel, big shouldered all around with dense, leathery spicy aromas and flavors, with hints of licorice and bittersweet chocolate. Estate bottled and grown in Napa's Chiles Valley.",Estate,86,35.0,California,Chiles Valley,Napa,Virginie Boone,@vboone,RustRidge 2007 Estate Zinfandel (Chiles Valley),Zinfandel,RustRidge
Spain,"The importance of a great vintage is evident in this crianza holdover from the lauded 2001 harvest. The wine is loaded with cola, root beer, molasses and leather aromas, while the flavors of earthy cherry, plum and raspberry are subtle and upright, yet still a touch angular. Will go well with food; drink now.",Crianza,88,-22.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Torrederos 2001 Crianza  (Ribera del Duero),Tempranillo,Torrederos
Argentina,"Minty boysenberry aromas show modest minerality. The palate feels acidic and clipped, while angular berry flavors lead the charge. A minty, peppery finish comes with scouring acidity, so this needs food.",Invierno,85,16.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Solsticio 2010 Invierno Malbec (Mendoza),Malbec,Solsticio
US,"Sourced from the Cedar Ranch vineyard in the Illinois Valley, this exquisite Riesling was entirely fermented with native yeast in both concrete egg and neutral wood. Given extended lees contact, it's textural and loaded with dry extract. Flavors highlight citrus rind, grapefruit and wet stone through the long and satisfying finish.",Off the Grid,93,25.0,Oregon,Rogue Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Ovum 2015 Off the Grid Riesling (Rogue Valley),Riesling,Ovum
US,"The Estate bottling, at least at the moment, is a light and delicate wine, with more than a hint of beetroot and stem. The cherry fruit is pleasant and a bit thin, but the wine has some complexity, which shows in the residual flavors of orange peel.",Estate,87,30.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Willamette Valley Vineyards 2014 Estate Pinot Noir (Willamette Valley),Pinot Noir,Willamette Valley Vineyards
US,"From a vineyard holding in the midst of prime Pinot Noir country, Maffei intrigues in ripe, hearty plum, black cherry and kir aromas and flavors. The tannins are soft and nicely managed, accented by notes of nutmeg and black pepper.",Maffei Vineyard,92,45.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Gary Farrell 2012 Maffei Vineyard Zinfandel (Russian River Valley),Zinfandel,Gary Farrell
Italy,"Made exclusively from Sangiovese, Cipresso is a lively, brilliant red with pretty fruit intensity and a solid, bright finish.",Piano del Cipresso,89,44.0,Tuscany,Toscana,,,,Terrabianca 2004 Piano del Cipresso Sangiovese (Toscana),Sangiovese,Terrabianca
France,"A rich blend that includes the local Abouriou grape gives a structured, firm wine that has both tannins and juicy black fruits. The oak aging still shows in the spice and vanilla edge that underlies the fruitiness. It should be aged, so drink from 2016.",Vieille Eglise Réserve,88,15.0,Southwest France,Côtes du Marmandais,,Roger Voss,@vossroger,Cave du Marmandais 2013 Vieille Eglise Réserve Red (Côtes du Marmandais),Red Blend,Cave du Marmandais
US,"Pristinely ripe, juicy black plum and cherry flavors mark this fresh, fruity wine. Rich and full bodied, it's straightforward in its fruitiness, but touches of pine and bramble lend elegance and nuance to the finish.",Doyle Family Vineyards Reserve,88,35.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Timothy Moore 2012 Doyle Family Vineyards Reserve Cabernet Franc (Finger Lakes),Cabernet Franc,Timothy Moore
US,"A bittersweet apple element gives this wine an intellectual component, tempering its richer crème brûlée-like flavors. Medium-bodied, with crisp acidity, it shows off the estate vineyard site well, in a well-regarded vintage.",Sexton Hill Vineyard Estate Grown Estate Bottled,90,38.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Balletto 2014 Sexton Hill Vineyard Estate Grown Estate Bottled Chardonnay (Russian River Valley),Chardonnay,Balletto
France,The wine is soft and warmly ripe with simple raspberry fruitiness. It has a touch of crisp acidity to keep it in order and to help its refreshing character. Drink now.,,85,15.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,Maison Belle Claire 2016 Rosé (Côtes de Provence),Rosé,Maison Belle Claire
Italy,Zisola is a Nero d'Avola that is aged 10 months in oak for soft sophistication and creamy aromas of red fruit and spice. The wine is evolved and layered and shows great depth and personality.,,90,23.0,Sicily & Sardinia,Sicilia,,,,Zisola 2006 Nero d'Avola (Sicilia),Nero d'Avola,Zisola
France,"Herbaceous in character, this is a tight and tangy wine with crisp, grassy fruitiness. It has a rich palate, but maintains a tight and nervy feel to it. Best kept for a year before drinking.",Caillou Blanc,87,,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château Talbot 2012 Caillou Blanc  (Bordeaux Blanc),Bordeaux-style White Blend,Château Talbot
Spain,"This is initially dark and earthy, with brandied cherry, leather and tobacco aromas. It feels complete and offers core acids to keep it feeling fresh. Flavors of black fruit and spice lead to a lasting finish with cola and cherry notes.",Glorioso Gran Reserva,88,35.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Bodegas Palacio 2005 Glorioso Gran Reserva  (Rioja),Tempranillo,Bodegas Palacio
US,"The nose on this bottling shows fresh boysenberry and primary grape scents, with lots of sweet rosemary and purple flower nuance. The sip is not overly complicated, with tar at first and then waves of blackberry and boysenberry fruit, lifted by thyme and peppercorns.",Graveyard Vineyard Reserve,88,50.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Graveyard 2014 Graveyard Vineyard Reserve Syrah (Paso Robles),Syrah,Graveyard
US,"Your first sniff of this wine reveals gooseberry notes, an impression confirmed when you taste it. It's bone dry, and that green, herbal flavor is relieved by riper lemons, limes and mangoes. It's a severe wine, dry and acidic, but deserves credit for elegance and varietal purity.",Cinghiale Vineyard,89,49.0,California,Fort Ross-Seaview,Sonoma,,,Del Dotto 2012 Cinghiale Vineyard Sauvignon Blanc (Fort Ross-Seaview),Sauvignon Blanc,Del Dotto
Australia,"A subtle smoke component adds nuance to the aromas of peach and pineapple. The flavors match up precisely, adding a touch of marshmallow to the mix. This is fairly full bodied, yet lacks a bit of depth and flesh in its midpalate and finishes warm. Drink now.",Twins,85,25.0,South Australia,Eden Valley,,Joe Czerwinski,@JoeCz,Maverick 2013 Twins Chardonnay (Eden Valley),Chardonnay,Maverick
US,"Heavy, soft and a little sweet, this lacks the vibrant dryness and zest a good Pinot should have. The blackberry and cherry flavors have a slightly burnt, pie-filling flavor. Domaine Chandon has done better with Pinot Noir in the past, and it can do better than this.",Reserve L'Argile,84,65.0,California,Carneros,Napa-Sonoma,,,Domaine Chandon 2005 Reserve L'Argile Pinot Noir (Carneros),Pinot Noir,Domaine Chandon
US,"The back label notes that this fruit is from the Whistling Ridge Vineyard. It's rich and concentrated, a mix of apple, pear and green banana. Creamy and dense, it coats the mouth and lingers deliciously.",Richard's Cuvée,92,45.0,Oregon,Ribbon Ridge,Willamette Valley,Paul Gregutt,@paulgwine ,Matello 2012 Richard's Cuvée Chardonnay (Ribbon Ridge),Chardonnay,Matello
Spain,"Light lemon-lime aromas open things up, alongside a light mineral note. The palate is clean and racy, with enough body to hold up to core flavors of lime, kiwi and green apple. A floral freshness carries the finish.",,86,9.0,Northern Spain,Cariñena,,Michael Schachner,@wineschach,Las Valles 2011 Viura-Chardonnay (Cariñena),Viura-Chardonnay,Las Valles
Spain,"Aromas of black fruits, integrated spices, licorice and tobacco are sturdy and almost heady. This feels layered, with structurally sound, slightly scraping tannins. Flavors of spicy cherry and cassis finish ripe, loamy and with a note of prune. Drink through 2020.",Monte Real Reserva,91,26.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Bodegas Riojanas 2010 Monte Real Reserva  (Rioja),Tempranillo,Bodegas Riojanas
US,"A brawny yet refined expression of oak and coffee, this is an intense red wine crafted from mostly Syrah grapes, with smaller amounts of Petite Syrah, Zinfandel, Alicante Bouschet and Mourvèdre. Well-made it is balanced and age-worthy, the proper pour for a slab of grilled meat slathered in spicy sauce.",Fusion,88,19.0,California,Lodi,Central Valley,Virginie Boone,@vboone,Borra 2010 Fusion Red (Lodi),Red Blend,Borra
US,"Here's a good, sound Merlot that's fancy enough to serve with special fare. It's dry and rich in tannins, with oak-inspired black cherry, currant and pepper flavors. Easy to find, with 29,000 cases produced. The alcohol measures 16%.",,87,23.0,California,Napa Valley,Napa,,,Robert Mondavi 2007 Merlot (Napa Valley),Merlot,Robert Mondavi
US,"An elegant Cabernet, with firm tannins framing classic flavors of blackberries, black cherries, currants, cedar and spice. Notable for its balance and plush mouthfeel. Best now through 2011.",Beaulieu Number 2,92,65.0,California,Rutherford,Napa,,,Beaulieu Vineyard 2005 Beaulieu Number 2 Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Beaulieu Vineyard
US,"Cassis, menthol, black olive, and some alfalfa make for a complex bouquet. It's undoubtedly forward—red fruit, chocolate and vanilla on the palate—with a piercing quality that could subside with age. This wine has the stuff to please: it's round, mouthfilling and very correct.",Bates' Ranch,90,35.0,California,Santa Cruz Mountains,Central Coast,,,Ahlgren 1997 Bates' Ranch Cabernet Sauvignon (Santa Cruz Mountains),Cabernet Sauvignon,Ahlgren
